unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone.1,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS1,The Weeknd,Blinding Lights,43770,8,4,-6,3,6,2,113,75000,1500000,3,7500000000,30,171,3,3,2019,1,18,0,21,1
TPS2,Glass Animals,Heat Waves,44105,10,7,-7,3,4,3,22,15000,26000,2,640000000,10,81,3,2,2020,6,15,0,14,0
TPS3,Harry Styles,As It Was,44652,10,7,-5,5,6,2,47,100000,3000000,3,850000000,25,174,3,2,2022,2,15,1,3,1
TPS4,Mariah Carey,All I Want for Christmas is You,36526,4,3,-7,4,10,1,27,50000,100000,2,800000000,15,150,7,7,2000,2,10,2,7,1
TPS5,The Weeknd and Ariana Grande,Save Your Tears,43891,5,5,-5,8,5,1,113,75000,1500000,2,950000000,30,118,2,4,2020,1,18,0,8,1
TPS6,The Kid LAROI and Justin Bieber ,Stay,44378,7,3,-5,4,4,1,46,50000,200000,2,2700000000,12,170,3,6,2021,3,15,0,14,0
TPS7,Miley Cyrus,Flowers,44927,10,6,-5,3,6,1,55,65000,150000,2,1250000000,20,118,4,7,2023,2,15,0,2,1
TPS8,Ed Sheeran,Shape Of You,42736,3,1,-3,3,11,1,71,10000,3000000,3,3500000000,40,96,6,5,2017,2,15,1,14,1
TPS9,Ed Sheeran,Bad Habits,44348,6,4,-4,3,5,2,71,10000,3000000,2,700000000,40,126,3,5,2021,2,15,0,6,0
TPS10,Lewis Capaldi,Someone You Loved,43405,3,10,-6,3,7,2,32,35000,600000,2,1500000000,8,110,2,2,2018,2,15,0,18,1
TPS11,Nickelback,How You Remind Me,37135,10,6,-5,3,3,2,23,45000,400000,2,1000000000,5,172,3,7,2001,4,25,1,14,1
TPS12,Dua Lipa & DaBaby,Levitating,43922,9,1,-2,4,6,1,65,55000,200000,3,800000000,25,103,6,8,2020,2,15,1,16,1
TPS13,Usher Lil' Jon and Ludacris,Yeah! ,37987,4,1,-5,5,5,1,41,30000,200000,2,1200000000,40,105,8,8,2004,1,18,1,10,0
TPS14,Ed Sheeran,Perfect,42795,5,10,-6,9,8,2,71,100000,3000000,3,1800000000,40,95,9,3,2017,2,15,0,9,1
TPS15,Ed Sheeran,Shivers,44440,4,3,-3,2,4,2,71,100000,3000000,3,1000000000,10,141,7,7,2021,2,15,0,5,0
TPS16,Wham!,Last Christmas,36526,3,2,-12,3,10,1,15,20000,72000,2,500000000,3,108,3,6,2000,2,10,0,4,1
TPS17,Luis Fonsi & Daddy Yankee,Despacito,42736,5,2,-5,2,15,3,21,50000,100000,3,3500000000,8,178,7,6,2017,8,15,0,13,1
TPS18,Tones & I,Dance Monkey,43617,6,1,-6,4,7,2,12,15000,150000,2,1300000000,5,98,3,3,2019,2,10,0,6,0
TPS19,P Diddy Usher and Loon,I Need A Girl,37316,7,4,-7,3,3,1,11,15000,200000,2,200000000,4,200,6,6,2002,3,18,0,7,0
TPS20,The Killers,Mr. Brightside,38108,9,10,-5,3,4,3,26,40000,400000,3,500000000,6,148,2,4,2004,5,18,0,15,1
TPS21,Mary J Blige,Family Affair,37073,8,1,-4,4,3,1,12,25000,100000,2,200000000,6,93,4,5,2001,1,15,1,7,0
TPS22,Elton John & Dua Lipa,Cold Heart ,44409,10,6,-6,2,5,2,48,50000,1000000,3,500000000,10,116,3,4,2021,2,15,0,9,1
TPS23,Taylor Swift,Anti-Hero,44835,7,8,-7,3,6,2,91,150000,4000000,2,300000000,40,97,3,5,2022,7,15,0,7,0
TPS24,Lifehouse,Hanging By a Moment,36923,6,5,-5,3,2,2,6,12500,100000,2,200000000,4,125,6,4,2001,5,15,0,12,1
TPS25,Timbaland & One Republic,Apologize,39173,9,10,-6,3,6,1,22,25000,450000,2,200000000,6,118,2,6,2007,3,15,1,12,1
TPS26,Taylor Swift,Cruel Summer,43678,8,1,-6,2,3,1,91,150000,4000000,3,500000000,10,170,4,4,2019,7,15,0,7,0
TPS27,David Guetta & Bebe Rhexa,I'm Good (Blue),44774,10,1,-4,5,4,1,76,35000,250000,2,400000000,8,128,10,8,2022,9,18,0,5,0
TPS28,The Black Eyed Peas,I Gotta Feeling,39965,8,1,-6,3,8,1,42,50000,350000,3,600000000,10,128,9,8,2009,3,15,0,3,1
TPS29,Morgan Wallen,Last Night,44958,6,3,-5,4,2,2,38,55000,900000,2,250000000,10,204,3,4,2023,7,18,0,3,0
TPS30,Eminem,Lose Yourself,37530,10,7,-5,5,5,3,76,100000,100000,3,1500000000,15,171,3,8,2002,3,15,1,3,1
TPS31,Billie Eilish ,Bad Guy,43556,7,2,-11,6,15,1,58,300000,500000,3,1000000000,40,135,5,7,2019,10,15,1,12,1
TPS32,Mariah Carey,We Belong Together,38443,9,6,-8,5,10,1,24,150000,300000,3,300000000,20,140,3,3,2005,1,18,1,14,1
TPS33,Alicia Keys,Fallin' ,37043,8,7,-8,2,9,2,22,100000,200000,4,200000000,15,96,5,6,2001,1,15,1,10,0
TPS34,Three Doors Down,Kryptonite,36617,8,5,-6,2,8,2,9,80000,150000,3,300000000,5,99,3,6,2000,5,15,0,11,0
TPS35,Snow Patrol,Chasing Cars,38869,7,9,-5,2,12,2,10,50000,120000,3,200000000,5,104,5,2,2006,5,10,0,16,1
TPS36,Mark Ronson & Bruno Mars,Uptown Funk,41944,6,1,-7,3,18,1,50,200000,250000,4,4500000000,10,115,8,9,2014,2,15,2,14,1
TPS37,Faith Hill,Breathe,36526,10,5,-9,5,8,2,5,70000,100000,3,100000000,5,137,7,3,2000,7,15,0,13,0
TPS38,24Goldn & Iann Dior,Mood,44044,8,2,-4,3,10,1,26,120000,150000,3,300000000,10,91,3,5,2020,3,15,0,12,0
TPS39,Nelly & Kelly Rowland,Dilemma,37438,8,1,-8,2,9,1,18,60000,200000,4,500000000,10,168,4,5,2002,1,15,1,10,0
TPS40,Pharell Williams,Happy,41487,5,3,-5,2,16,1,25,150000,150000,3,1000000000,15,160,10,8,2013,2,15,0,16,0
TPS41,The Pussycat Dolls,Don't Cha,38473,3,2,-3,4,9,1,10,100000,100000,3,200000000,10,120,6,5,2005,2,18,0,9,0
TPS42,Santana & The Product G,Maria Maria,36557,7,4,-6,2,8,1,14,50000,100000,4,200000000,5,98,4,4,2000,4,15,1,10,1
TPS43,OutKast,Hey Ya!,37895,5,6,-2,3,12,3,22,100000,150000,4,1000000000,10,80,3,6,2003,3,15,1,14,1
TPS44,Train,Drops Of Jupiter (Tell Me),36951,3,4,-6,5,8,2,15,70000,150000,4,200000000,10,79,6,4,2001,5,10,0,11,0
TPS45,Olivia Rodrigo,Good 4 U,44317,9,8,-5,6,11,1,75,500000,600000,3,500000000,50,167,3,7,2021,2,15,1,10,1
TPS46,50 Cent,In Da Club,37622,6,1,-3,2,10,1,34,200000,250000,3,1000000000,20,90,7,5,2003,3,18,1,12,1
